Sample_ID,Raw_TDS_ppm,Raw_Turbidity_NTU,Raw_Temperature_C,Treated_TDS_ppm,Treated_Turbidity_NTU,Treated_pH,Treated_Temperature_C,Flow_Rate_L_min,TDS_Removal_Efficiency_pct,Turbidity_Removal_Efficiency_pct,Temperature_Difference_C,Previous_TDS_Efficiency_pct,Efficiency_Improvement_pp,Rolling_3Cycle_Avg_Efficiency_pct,Efficiency_Trend_pct,Previous_Turbidity_Efficiency_pct,Rolling_3Cycle_Avg_Turbidity_Efficiency_pct,Cycle_Number,Filter_Health_Score_pct,Water_Quality_Class,Filter_Health,ML_Split
JR-07942,120.0,18.25,36.39,81.69,6.89,7.28,35.99,1.177,31.92,62.27,0.4,37.75,-5.83,33.91,-15.43,67.71,63.15,9,70.25,CRITICAL,UNHEALTHY,TEST
JR-04998,336.55,13.27,26.37,114.42,2.52,7.2,26.19,1.426,66.0,81.01,0.18,61.34,4.66,64.82,7.6,85.04,84.65,22,89.28,WARNING,MODERATE,TRAIN
JR-02749,517.91,4.53,25.52,56.37,1.18,6.66,25.81,1.428,89.12,73.97,-0.29,85.7,3.42,88.28,3.99,68.98,71.68,25,84.05,SAFE,HEALTHY,TEST
JR-02303,414.4,5.77,18.01,55.06,1.01,7.5,19.05,1.621,86.71,82.53,-1.03,86.95,-0.23,85.72,-0.27,75.89,81.26,23,94.31,SAFE,HEALTHY,TRAIN
JR-03933,624.76,7.97,27.01,56.15,0.58,7.24,27.12,1.641,91.01,92.68,-0.11,86.13,4.88,90.39,5.67,91.6,92.05,21,100.0,SAFE,HEALTHY,TRAIN
JR-05957,711.62,7.37,24.9,246.78,2.3,7.0,24.79,1.299,65.32,68.78,0.1,63.18,2.14,64.11,3.39,74.15,69.52,10,77.56,WARNING,MODERATE,TRAIN
JR-06132,542.36,11.76,21.73,143.1,4.35,8.04,21.99,1.37,73.61,63.01,-0.26,82.42,-8.8,76.95,-10.68,59.88,61.63,30,74.64,WARNING,MODERATE,TEST
JR-07597,652.87,18.93,25.67,383.13,8.03,5.27,25.8,1.258,41.32,57.6,-0.13,39.99,1.33,39.35,3.32,60.76,57.15,21,68.37,CRITICAL,UNHEALTHY,TEST
JR-00795,253.66,6.4,28.51,22.3,0.24,7.04,28.66,1.81,91.21,96.2,-0.15,86.73,4.48,88.4,5.16,98.0,96.98,15,100.0,SAFE,HEALTHY,TRAIN
JR-03164,500.57,4.15,30.02,108.75,0.98,7.3,29.75,1.866,78.27,76.26,0.27,85.34,-7.07,79.09,-8.28,78.14,75.1,5,94.51,SAFE,HEALTHY,TEST
JR-07941,932.66,19.68,27.14,492.11,10.58,5.17,27.18,1.068,47.24,46.23,-0.03,56.21,-8.97,47.36,-15.96,47.35,46.02,18,56.04,CRITICAL,UNHEALTHY,TEST
JR-03182,568.78,7.12,23.37,78.23,2.05,7.34,22.7,1.543,86.25,71.21,0.66,83.96,2.29,87.3,2.72,70.76,75.76,28,84.26,SAFE,HEALTHY,TEST
JR-00764,473.5,6.99,25.92,81.3,0.56,6.92,24.94,1.613,82.83,91.97,0.98,77.13,5.69,84.45,7.38,81.38,90.45,18,100.0,SAFE,HEALTHY,TRAIN
JR-03079,508.05,4.97,30.53,96.54,0.3,6.49,29.21,2.0,81.0,93.89,1.32,76.04,4.96,81.43,6.52,98.0,94.4,13,100.0,SAFE,HEALTHY,TRAIN
JR-00812,346.88,6.18,22.62,52.27,0.54,7.76,22.38,1.55,84.93,91.27,0.24,88.61,-3.68,87.83,-4.15,96.84,90.53,4,99.45,SAFE,HEALTHY,TEST
JR-07260,708.13,21.59,25.21,314.68,13.4,6.1,24.18,0.672,55.56,37.93,1.03,57.23,-1.67,54.54,-2.92,34.43,37.79,25,41.88,CRITICAL,UNHEALTHY,TRAIN
JR-06932,703.98,18.97,24.27,362.43,11.66,7.08,24.25,1.473,48.52,38.54,0.02,52.73,-4.21,51.24,-7.99,45.26,41.4,22,58.37,CRITICAL,UNHEALTHY,TRAIN
JR-01619,674.09,5.3,25.94,110.59,0.66,6.71,25.28,1.386,83.59,87.5,0.67,85.82,-2.22,84.54,-2.59,92.16,91.45,16,93.34,SAFE,HEALTHY,TRAIN
JR-06827,477.98,16.08,26.1,323.73,7.53,5.8,26.44,1.277,32.27,53.21,-0.34,23.66,8.61,31.5,36.39,57.96,56.03,11,65.45,CRITICAL,UNHEALTHY,TRAIN
JR-01043,466.74,4.24,22.6,27.99,1.05,7.19,21.99,2.0,94.0,75.26,0.62,93.56,0.45,93.62,0.48,82.27,78.9,21,96.45,SAFE,HEALTHY,TEST
JR-05319,316.87,10.96,19.61,49.67,3.99,6.78,19.2,1.533,84.33,63.56,0.42,80.79,3.53,80.99,4.37,63.02,61.94,14,78.33,WARNING,MODERATE,TRAIN
JR-04795,583.58,11.22,29.08,86.2,3.95,7.7,27.65,1.439,85.23,64.75,1.43,90.04,-4.81,86.37,-5.35,68.29,63.15,12,77.34,WARNING,MODERATE,TEST
JR-00488,320.65,8.44,28.34,38.61,1.15,7.63,27.33,1.811,87.96,86.38,1.0,94.88,-6.92,91.11,-7.29,84.45,87.95,23,100.0,SAFE,HEALTHY,TRAIN
JR-01018,532.24,6.65,28.32,110.05,1.47,7.23,26.73,1.917,79.32,77.84,1.59,78.81,0.52,80.34,0.66,86.38,81.88,29,96.73,SAFE,HEALTHY,TRAIN
JR-02816,528.42,5.87,23.65,47.28,0.5,7.87,22.83,1.817,91.05,91.44,0.82,87.81,3.25,87.4,3.7,87.6,91.98,21,100.0,SAFE,HEALTHY,TEST
JR-02717,466.31,1.87,24.51,102.9,0.29,7.19,24.17,1.908,77.93,84.7,0.34,78.82,-0.88,78.63,-1.12,82.83,83.28,5,100.0,SAFE,HEALTHY,TRAIN
JR-05364,802.59,7.59,26.12,260.03,0.97,7.17,24.05,1.09,67.6,87.23,2.08,73.16,-5.56,70.26,-7.6,80.03,85.22,2,87.22,WARNING,MODERATE,TRAIN
JR-02930,470.4,5.38,25.64,81.28,1.56,6.92,25.82,1.887,82.72,70.99,-0.18,78.35,4.37,75.91,5.58,64.82,64.66,9,90.98,SAFE,HEALTHY,TRAIN
JR-03363,361.69,6.14,20.95,88.27,1.03,6.94,19.32,1.817,75.59,83.3,1.63,70.07,5.53,75.61,7.89,85.77,84.46,9,98.81,SAFE,HEALTHY,TEST
JR-05166,552.09,11.62,28.4,205.84,2.6,6.94,27.76,1.161,62.72,77.65,0.64,68.06,-5.34,63.4,-7.85,84.63,78.33,19,81.45,WARNING,MODERATE,TRAIN
JR-01076,503.37,8.62,26.16,92.08,1.09,6.99,26.22,1.862,81.71,87.34,-0.06,82.8,-1.09,80.18,-1.32,92.13,89.85,21,100.0,SAFE,HEALTHY,TEST
JR-06399,532.23,15.73,24.83,101.82,5.38,7.45,25.01,1.39,80.87,65.78,-0.18,77.1,3.77,80.61,4.89,68.37,66.85,30,77.14,WARNING,MODERATE,TEST
JR-04982,392.45,10.25,28.3,108.76,3.46,6.68,28.44,1.782,72.29,66.22,-0.14,76.71,-4.42,69.54,-5.76,71.51,67.7,15,85.3,WARNING,MODERATE,TRAIN
JR-06229,798.17,13.57,22.08,257.2,4.98,6.96,21.18,1.606,67.78,63.31,0.9,71.02,-3.24,69.81,-4.57,54.05,62.54,24,79.6,WARNING,MODERATE,TRAIN
JR-02922,270.38,7.9,22.65,33.26,2.39,7.48,21.1,2.0,87.7,69.71,1.55,82.57,5.13,86.05,6.21,69.81,68.84,30,92.28,SAFE,HEALTHY,TRAIN
JR-04020,654.53,16.46,32.22,275.89,3.21,6.43,33.0,1.486,57.85,80.5,-0.78,57.59,0.26,57.17,0.45,75.02,83.2,5,90.08,WARNING,MODERATE,TRAIN
JR-04332,656.1,7.92,21.48,275.95,3.3,6.73,20.91,1.729,57.94,58.29,0.57,54.75,3.19,54.11,5.82,66.38,62.93,25,78.29,WARNING,MODERATE,TEST
JR-07000,595.4,9.6,19.98,312.13,4.66,4.97,19.66,1.033,47.58,51.43,0.32,56.27,-8.69,48.83,-15.45,44.54,49.59,1,59.24,CRITICAL,UNHEALTHY,TRAIN
JR-01323,625.84,6.32,18.44,96.27,1.55,7.15,17.79,1.661,84.62,75.44,0.65,84.54,0.08,84.63,0.09,68.77,70.99,1,89.81,SAFE,HEALTHY,TRAIN
JR-07732,752.07,18.8,23.14,313.56,7.36,7.0,22.77,1.002,58.31,60.84,0.37,59.4,-1.09,58.87,-1.83,58.54,63.56,28,65.68,CRITICAL,UNHEALTHY,TRAIN
JR-02253,395.21,6.41,28.18,46.95,0.99,7.28,26.31,1.295,88.12,84.6,1.87,91.78,-3.66,89.28,-3.99,86.77,86.62,21,89.34,SAFE,HEALTHY,TRAIN
JR-06655,889.19,21.08,23.8,368.41,8.75,6.16,22.55,0.759,58.57,58.49,1.25,63.93,-5.36,58.17,-8.38,56.08,59.57,7,59.06,CRITICAL,UNHEALTHY,TEST
JR-07245,854.3,24.67,30.54,215.99,14.75,5.54,29.88,1.413,74.72,40.22,0.66,81.66,-6.94,77.26,-8.5,47.67,43.55,4,58.42,CRITICAL,UNHEALTHY,TRAIN
JR-00867,495.24,6.56,23.78,70.65,0.66,6.69,23.8,1.659,85.74,89.97,-0.02,87.77,-2.04,85.33,-2.32,87.41,91.75,4,100.0,SAFE,HEALTHY,TRAIN
JR-05592,577.67,10.01,25.84,179.12,4.3,6.35,25.03,1.45,68.99,57.08,0.8,72.95,-3.96,67.66,-5.43,66.29,59.11,20,71.8,WARNING,MODERATE,TRAIN
JR-02466,372.0,6.08,17.52,67.23,0.62,6.57,18.15,1.571,81.93,89.85,-0.63,83.19,-1.26,81.42,-1.51,96.27,93.25,22,98.8,SAFE,HEALTHY,TRAIN
JR-00466,544.71,5.56,28.41,84.06,1.43,7.1,29.15,1.636,84.57,74.22,-0.74,80.08,4.49,84.41,5.6,72.81,74.36,20,88.38,SAFE,HEALTHY,TEST
JR-02883,428.83,4.96,23.53,57.58,1.69,7.08,23.58,1.608,86.57,66.01,-0.05,90.44,-3.87,87.35,-4.28,63.53,66.28,16,81.66,SAFE,HEALTHY,TEST
JR-04962,499.6,9.16,33.31,169.96,2.93,7.19,32.48,1.358,65.98,67.99,0.83,70.76,-4.78,68.98,-6.75,71.28,69.16,12,78.16,WARNING,MODERATE,TEST
JR-07043,817.82,17.61,23.29,374.78,11.24,4.5,23.32,1.032,54.17,36.18,-0.04,59.97,-5.8,58.08,-9.67,41.91,40.05,16,47.76,CRITICAL,UNHEALTHY,TRAIN
JR-06241,384.94,10.44,21.66,99.17,3.56,7.22,21.16,1.49,74.24,65.85,0.5,72.21,2.03,74.8,2.81,63.19,62.14,21,79.19,WARNING,MODERATE,TRAIN
JR-05448,120.0,8.83,26.47,54.77,2.13,7.35,27.07,1.703,54.35,75.93,-0.6,55.12,-0.76,58.35,-1.38,67.81,73.92,7,90.99,WARNING,MODERATE,TEST
JR-01503,216.69,6.75,23.34,38.93,0.91,6.88,23.1,1.732,82.03,86.45,0.24,83.56,-1.52,81.45,-1.82,91.84,87.68,15,99.47,SAFE,HEALTHY,TEST
JR-03916,571.02,7.4,28.48,95.98,1.47,7.12,28.24,1.688,83.19,80.08,0.23,85.9,-2.71,83.37,-3.15,73.06,73.4,12,93.83,SAFE,HEALTHY,TRAIN
JR-03263,548.05,7.38,26.31,91.03,1.5,7.55,25.73,1.917,83.39,79.64,0.58,80.28,3.11,84.11,3.87,76.81,82.17,16,98.08,SAFE,HEALTHY,TEST
JR-00264,418.9,3.83,23.13,102.04,0.35,6.71,21.99,1.658,75.64,90.85,1.14,68.49,7.15,73.04,10.44,98.0,92.3,5,100.0,SAFE,HEALTHY,TRAIN
JR-03807,403.85,9.14,24.92,56.43,1.7,7.2,25.02,1.942,86.03,81.35,-0.1,87.56,-1.54,90.53,-1.76,79.7,81.74,19,99.86,SAFE,HEALTHY,TEST
JR-04085,660.8,8.37,22.45,79.25,2.33,6.56,23.31,1.093,88.01,72.14,-0.86,84.89,3.11,86.53,3.67,69.66,75.14,17,75.95,WARNING,MODERATE,TEST
JR-07840,625.93,27.48,31.7,402.53,15.28,5.63,30.9,1.299,35.69,44.42,0.8,42.34,-6.65,36.53,-15.7,30.99,39.38,4,59.29,CRITICAL,UNHEALTHY,TRAIN
JR-01812,381.52,3.9,26.45,40.79,0.31,6.56,25.11,1.565,89.31,92.04,1.34,89.21,0.09,90.9,0.11,98.0,96.01,19,100.0,SAFE,HEALTHY,TRAIN
JR-01145,482.57,3.66,25.39,140.58,0.16,6.88,24.78,1.436,70.87,95.51,0.61,70.06,0.81,69.24,1.16,93.18,90.72,23,100.0,SAFE,HEALTHY,TEST
JR-05828,702.0,11.84,26.06,222.62,2.79,6.66,25.3,1.541,68.29,76.45,0.76,59.46,8.83,68.77,14.85,80.57,79.81,8,88.15,WARNING,MODERATE,TRAIN
JR-02150,624.96,3.07,24.07,83.34,0.67,7.64,23.19,1.231,86.66,78.23,0.89,84.07,2.59,85.62,3.08,68.51,75.09,15,83.29,SAFE,HEALTHY,TRAIN
JR-03930,334.13,5.24,22.79,46.53,1.05,7.64,23.07,1.903,86.08,79.87,-0.27,80.64,5.43,84.33,6.73,77.91,81.94,1,97.96,SAFE,HEALTHY,TRAIN
JR-06320,398.14,9.34,28.11,160.16,4.22,6.38,27.11,1.049,59.77,54.78,1.0,65.58,-5.81,60.85,-8.86,55.14,53.06,28,62.06,WARNING,MODERATE,TRAIN
JR-03291,430.56,2.16,22.12,79.68,0.56,7.45,21.33,1.565,81.49,73.95,0.78,87.66,-6.17,78.71,-7.04,76.44,75.2,13,86.76,SAFE,HEALTHY,TRAIN
JR-00683,244.17,2.86,27.51,46.05,0.45,7.45,26.89,1.686,81.14,84.08,0.62,72.59,8.55,75.88,11.78,74.3,78.36,5,96.78,SAFE,HEALTHY,TEST
JR-02841,627.09,9.64,23.2,98.36,1.83,6.49,22.14,1.468,84.31,81.04,1.06,80.15,4.16,85.22,5.2,79.12,83.41,13,90.15,SAFE,HEALTHY,TEST
JR-01003,270.78,4.99,29.04,26.1,0.91,7.93,29.98,1.404,90.36,81.8,-0.94,94.69,-4.33,92.15,-4.57,82.7,86.16,24,89.43,SAFE,HEALTHY,TRAIN
JR-06756,736.48,26.06,27.7,358.56,7.43,4.84,26.73,0.947,51.31,71.51,0.97,59.13,-7.82,55.95,-13.22,70.78,68.95,1,72.57,CRITICAL,UNHEALTHY,TEST
JR-05130,439.49,6.0,28.04,132.71,1.57,7.21,27.37,1.779,69.8,73.88,0.67,80.51,-10.71,75.11,-13.3,77.23,73.53,19,91.0,WARNING,MODERATE,TEST
JR-04291,548.46,10.46,30.66,247.57,2.47,6.69,29.17,1.505,54.86,76.41,1.48,49.46,5.4,55.49,10.93,76.91,76.8,9,87.41,WARNING,MODERATE,TRAIN
JR-02174,285.77,3.99,30.05,21.79,0.94,7.12,29.57,1.484,92.38,76.5,0.48,90.06,2.32,93.25,2.57,70.45,77.15,7,87.05,SAFE,HEALTHY,TRAIN
JR-00484,402.97,3.04,27.14,57.5,0.31,7.21,28.0,1.618,85.73,89.9,-0.86,85.16,0.57,84.82,0.67,80.58,86.57,24,99.78,SAFE,HEALTHY,TEST
JR-03814,626.16,9.66,24.98,68.7,2.23,6.74,24.03,2.0,89.03,76.94,0.95,91.48,-2.46,91.77,-2.69,75.43,76.18,28,97.7,SAFE,HEALTHY,TRAIN
JR-04415,483.42,10.3,26.34,39.25,2.52,6.3,26.42,1.797,91.88,75.59,-0.08,86.71,5.17,92.2,5.97,77.81,78.67,30,92.62,WARNING,MODERATE,TEST
JR-00519,542.17,7.48,24.51,155.42,1.52,7.39,23.92,1.37,71.33,79.64,0.59,66.04,5.29,67.22,8.01,80.82,83.05,25,87.12,SAFE,HEALTHY,TRAIN
JR-06989,276.2,12.82,29.48,167.25,4.58,6.31,30.16,1.431,39.45,64.3,-0.67,45.7,-6.25,41.65,-13.68,57.81,61.0,6,76.85,CRITICAL,UNHEALTHY,TEST
JR-01346,620.22,4.33,23.94,91.07,0.61,6.97,23.55,1.922,85.32,85.84,0.39,82.47,2.84,86.52,3.45,80.71,80.97,30,100.0,SAFE,HEALTHY,TRAIN
JR-00697,362.85,9.37,21.3,85.25,2.59,7.69,21.34,2.0,76.51,72.35,-0.04,75.86,0.64,73.31,0.85,68.17,71.56,18,94.27,SAFE,HEALTHY,TEST
JR-01010,487.92,3.1,27.84,88.1,0.91,6.7,27.09,1.817,81.94,70.47,0.75,90.34,-8.4,86.78,-9.3,69.94,74.61,3,89.19,SAFE,HEALTHY,TEST
JR-06318,707.79,13.22,25.37,276.72,4.22,7.23,25.07,1.175,60.9,68.09,0.3,59.43,1.47,60.21,2.47,70.35,68.15,5,74.57,WARNING,MODERATE,TRAIN
JR-06596,632.46,16.55,30.58,270.85,6.53,5.51,29.07,0.567,57.18,60.55,1.51,57.02,0.15,55.4,0.27,53.8,60.33,20,56.76,CRITICAL,UNHEALTHY,TRAIN
JR-02771,547.65,4.12,24.23,81.49,0.83,7.53,24.6,1.732,85.12,79.98,-0.37,82.59,2.53,86.42,3.06,80.23,80.92,28,94.62,SAFE,HEALTHY,TRAIN
JR-01075,325.34,6.22,23.62,22.99,1.31,7.29,24.34,1.491,92.93,78.94,-0.73,97.69,-4.76,96.21,-4.87,76.77,78.63,4,89.02,SAFE,HEALTHY,TRAIN
JR-01340,527.81,3.89,24.54,66.79,0.7,7.62,25.33,1.936,87.35,82.03,-0.79,85.06,2.28,85.32,2.68,78.94,81.19,4,100.0,SAFE,HEALTHY,TRAIN
JR-02987,327.29,2.55,24.94,24.59,0.42,7.62,23.64,2.0,92.49,83.55,1.3,90.46,2.02,90.2,2.24,82.02,83.58,23,100.0,SAFE,HEALTHY,TRAIN
JR-07710,686.78,21.1,28.48,262.44,10.4,6.31,26.94,0.754,61.79,50.71,1.54,63.76,-1.97,63.88,-3.1,51.08,52.59,22,53.11,CRITICAL,UNHEALTHY,TRAIN
JR-06748,997.83,5.36,23.2,510.54,1.65,7.39,22.77,1.122,48.84,69.25,0.44,47.71,1.12,48.68,2.35,71.85,66.51,12,74.37,CRITICAL,UNHEALTHY,TRAIN
JR-04422,725.26,6.31,25.02,315.82,1.93,7.09,25.2,1.17,56.45,69.48,-0.19,51.22,5.23,55.63,10.21,75.01,68.73,10,75.51,WARNING,MODERATE,TRAIN
JR-03393,245.15,3.57,22.51,39.68,0.17,7.39,21.74,1.973,83.81,95.24,0.77,82.85,0.96,81.84,1.16,98.0,96.6,19,100.0,SAFE,HEALTHY,TEST
JR-01484,410.79,8.57,26.31,73.08,1.16,6.96,25.94,1.551,82.21,86.48,0.37,80.08,2.13,80.03,2.66,88.52,85.68,30,95.87,SAFE,HEALTHY,TRAIN
JR-04862,527.15,16.81,23.62,173.52,4.87,5.64,23.03,1.791,67.08,71.02,0.59,68.0,-0.92,68.04,-1.35,63.92,67.31,27,89.09,WARNING,MODERATE,TRAIN
JR-01935,375.18,6.45,26.47,11.26,0.97,7.35,24.98,1.709,97.0,84.93,1.49,96.02,0.98,93.48,1.02,81.36,84.66,20,97.89,SAFE,HEALTHY,TEST
JR-01035,595.06,4.69,28.16,106.09,0.71,7.33,27.67,1.794,82.17,84.9,0.49,82.76,-0.59,80.48,-0.71,86.83,86.09,14,99.55,SAFE,HEALTHY,TRAIN
JR-05485,387.98,20.79,23.63,90.81,5.31,5.99,24.73,1.395,76.59,74.47,-1.1,76.19,0.41,78.49,0.54,68.58,70.79,16,83.77,WARNING,MODERATE,TRAIN
JR-02479,470.63,6.04,18.29,34.13,1.59,7.36,18.47,1.75,92.75,73.6,-0.19,91.38,1.36,92.49,1.49,75.1,72.77,30,90.2,SAFE,HEALTHY,TEST
JR-00350,624.71,1.82,26.66,64.46,0.28,7.06,26.43,1.823,89.68,84.55,0.23,86.38,3.3,84.67,3.82,82.51,86.28,19,99.88,SAFE,HEALTHY,TRAIN
JR-04394,582.79,11.62,30.37,172.46,3.58,6.92,30.7,1.728,70.41,69.22,-0.33,71.39,-0.98,70.46,-1.38,73.8,71.06,29,86.47,WARNING,MODERATE,TRAIN
JR-04353,442.03,18.81,27.05,168.27,6.17,6.74,27.14,1.721,61.93,67.22,-0.09,60.46,1.48,58.04,2.44,70.92,69.24,27,84.82,WARNING,MODERATE,TRAIN
JR-07558,1102.36,26.01,28.44,546.12,13.37,7.03,27.42,1.569,50.46,48.58,1.02,60.84,-10.38,55.24,-17.06,47.33,50.46,23,67.81,CRITICAL,UNHEALTHY,TRAIN
JR-01062,435.43,2.82,20.38,35.71,0.77,7.82,19.68,1.913,91.8,72.59,0.69,98.0,-6.2,93.43,-6.33,78.63,71.25,27,92.7,SAFE,HEALTHY,TEST
JR-00880,457.71,2.88,23.66,91.36,0.32,6.56,23.6,2.0,80.04,88.88,0.06,82.27,-2.23,82.91,-2.71,83.42,90.1,2,100.0,SAFE,HEALTHY,TRAIN
JR-05603,643.07,11.02,23.28,281.07,2.02,6.32,22.39,1.683,56.29,81.67,0.89,49.21,7.08,53.27,14.38,87.06,84.08,2,94.91,WARNING,MODERATE,TRAIN
JR-02543,364.99,6.87,21.89,44.73,1.69,6.51,21.19,1.927,87.74,75.35,0.7,81.11,6.63,82.68,8.18,81.45,79.72,18,95.05,SAFE,HEALTHY,TEST
JR-06424,862.19,13.9,31.54,298.84,4.68,6.76,31.56,0.721,65.34,66.33,-0.02,69.75,-4.41,65.52,-6.32,74.16,68.04,26,64.16,CRITICAL,UNHEALTHY,TEST
JR-06745,457.06,19.2,27.14,276.98,5.9,5.58,26.37,0.913,39.4,69.25,0.77,45.11,-5.71,40.06,-12.66,63.88,67.8,25,70.2,CRITICAL,UNHEALTHY,TRAIN
JR-01851,487.39,6.27,28.6,26.32,1.03,6.88,29.28,1.74,94.6,83.59,-0.68,94.86,-0.26,95.64,-0.28,85.6,87.66,14,97.49,SAFE,HEALTHY,TRAIN
JR-05403,637.89,12.86,23.84,137.27,3.13,7.13,24.36,1.189,78.48,75.64,-0.52,83.8,-5.32,82.9,-6.35,76.16,72.84,17,80.52,WARNING,MODERATE,TRAIN
JR-01678,349.96,3.95,23.49,44.71,0.77,7.09,22.79,2.0,87.22,80.41,0.71,91.01,-3.79,91.55,-4.16,80.11,85.2,24,100.0,SAFE,HEALTHY,TRAIN
JR-01836,450.12,2.14,24.93,71.86,0.33,7.14,24.74,1.673,84.04,84.64,0.18,86.86,-2.82,87.59,-3.25,89.57,84.16,19,96.94,SAFE,HEALTHY,TRAIN
JR-07112,422.22,21.16,27.65,278.29,9.0,5.63,25.87,0.882,34.09,57.5,1.78,40.72,-6.63,35.65,-16.29,55.72,52.85,1,60.77,CRITICAL,UNHEALTHY,TEST
JR-04953,642.02,7.85,22.09,116.29,1.76,6.94,21.62,1.46,81.89,77.58,0.47,85.18,-3.3,82.83,-3.87,74.43,78.66,12,87.38,WARNING,MODERATE,TRAIN
JR-04705,548.6,7.49,26.87,125.14,0.92,7.27,27.12,1.867,77.19,87.75,-0.25,77.9,-0.72,76.48,-0.92,85.7,87.45,30,100.0,WARNING,MODERATE,TRAIN
JR-05200,627.6,5.25,25.72,217.17,1.56,7.16,25.38,1.517,65.4,70.36,0.34,67.9,-2.5,62.41,-3.68,63.0,65.2,18,83.12,WARNING,MODERATE,TRAIN
JR-00458,242.22,6.83,31.01,57.49,2.38,7.61,30.8,1.658,76.27,65.19,0.21,70.56,5.7,72.43,8.08,66.68,67.0,20,82.06,SAFE,HEALTHY,TRAIN
JR-04648,483.76,7.19,23.77,182.65,2.78,6.99,23.91,1.328,62.24,61.37,-0.14,62.94,-0.7,67.6,-1.11,60.63,62.86,9,72.59,WARNING,MODERATE,TRAIN
JR-06508,896.2,26.51,24.54,452.08,9.05,5.15,23.83,1.535,49.56,65.87,0.71,45.04,4.52,51.58,10.04,66.95,67.33,18,80.11,CRITICAL,UNHEALTHY,TRAIN
JR-03183,489.58,3.51,25.63,27.92,0.66,6.96,24.09,1.813,94.3,81.3,1.54,92.07,2.23,92.71,2.42,83.31,81.51,30,97.23,SAFE,HEALTHY,TRAIN
